time,name,status
0.0,hexokinase_or_glucokinase,triggered
0.0,pgm_G6P_to_G1P,triggered
0.0,udpGlucoseSynthesis,triggered
0.0,glycogenSynthaseStep,stopped
0.0,branchingEnzymeStep,triggered
0.0,glycogenPhosphorylaseStep,stopped
0.0,debranchingEnzymeStep,triggered
0.0,g1p_to_g6p,stopped
0.0,pepck_OAA_to_PEP,triggered
0.0,g6pase_G6P_to_Glucose,stopped
0.0,glycolysis_middle_steps,triggered
0.0,pyruvateKinase_step,stopped
0.0,fattyAcidSynthesis,triggered
0.0,betaOxidation,stopped
0.0,deNovoLipogenesis,stopped
0.0,lipidTransport,triggered
0.0,adiposeLipolysis,stopped
0.0,aminoAcidCatabolism,triggered
0.0,aminoAcidSynthesisTransport,triggered
0.0,oxidativePhosphorylation,triggered
0.0,ketogenesis,stopped
0.0,cps1_Ammonia_to_CarbamoylPhosphate,stopped
0.0,otc_CarbamoylPhosphate_to_Citrulline,stopped
0.0,ass1_Citrulline_to_ASP_Argininosuccinate,stopped
0.0,asl_Argininosuccinate_to_Arginine_Fumarate,stopped
0.0,arg1_Arginine_to_Urea_Ornithine,stopped
0.0,phaseI_OxRed,stopped
0.0,phaseII_Conjugation,stopped
0.0,bilirubinUGT,stopped
0.0,ethanol_ADH,stopped
0.0,acetaldehyde_ALDH,stopped
0.0,acetate_to_acetylcoa,stopped
0.0,bileAcidSynthesis,triggered
0.0,plasmaProteinSynthesis,triggered
0.0,coagulationFactorSynthesis,triggered
0.0,cytosolicATPase_load,triggered
0.016666666666666666,glycogenPhosphorylaseStep,triggered
0.016666666666666666,fattyAcidSynthesis,stopped
0.016666666666666666,lipidTransport,stopped
0.016666666666666666,adiposeLipolysis,triggered
0.016666666666666666,cps1_Ammonia_to_CarbamoylPhosphate,triggered
0.03333333333333333,glycogenSynthaseStep,triggered
0.03333333333333333,glycogenPhosphorylaseStep,stopped
0.03333333333333333,fattyAcidSynthesis,triggered
0.03333333333333333,lipidTransport,triggered
0.03333333333333333,adiposeLipolysis,stopped
0.03333333333333333,otc_CarbamoylPhosphate_to_Citrulline,triggered
0.05,glycogenSynthaseStep,stopped
0.05,glycogenPhosphorylaseStep,triggered
0.05,fattyAcidSynthesis,stopped
0.05,lipidTransport,stopped
0.05,adiposeLipolysis,triggered
0.06666666666666667,glycogenSynthaseStep,triggered
0.06666666666666667,glycogenPhosphorylaseStep,stopped
0.06666666666666667,fattyAcidSynthesis,triggered
0.06666666666666667,lipidTransport,triggered
0.06666666666666667,adiposeLipolysis,stopped
0.06666666666666667,ass1_Citrulline_to_ASP_Argininosuccinate,triggered
0.08333333333333333,glycogenSynthaseStep,stopped
0.08333333333333333,glycogenPhosphorylaseStep,triggered
0.08333333333333333,fattyAcidSynthesis,stopped
0.08333333333333333,lipidTransport,stopped
0.08333333333333333,adiposeLipolysis,triggered
0.1,glycogenSynthaseStep,triggered
0.1,glycogenPhosphorylaseStep,stopped
0.1,fattyAcidSynthesis,triggered
0.1,lipidTransport,triggered
0.1,adiposeLipolysis,stopped
0.1,aminoAcidCatabolism,stopped
0.1,asl_Argininosuccinate_to_Arginine_Fumarate,triggered
0.1,arg1_Arginine_to_Urea_Ornithine,triggered
0.11666666666666667,glycogenSynthaseStep,stopped
0.11666666666666667,glycogenPhosphorylaseStep,triggered
0.11666666666666667,fattyAcidSynthesis,stopped
0.11666666666666667,lipidTransport,stopped
0.11666666666666667,adiposeLipolysis,triggered
0.11666666666666667,cps1_Ammonia_to_CarbamoylPhosphate,stopped
0.13333333333333333,glycogenSynthaseStep,triggered
0.13333333333333333,glycogenPhosphorylaseStep,stopped
0.13333333333333333,fattyAcidSynthesis,triggered
0.13333333333333333,lipidTransport,triggered
0.13333333333333333,adiposeLipolysis,stopped
0.15,glycogenSynthaseStep,stopped
0.15,glycogenPhosphorylaseStep,triggered
0.15,fattyAcidSynthesis,stopped
0.15,lipidTransport,stopped
0.15,adiposeLipolysis,triggered
0.16666666666666666,glycogenSynthaseStep,triggered
0.16666666666666666,glycogenPhosphorylaseStep,stopped
0.16666666666666666,fattyAcidSynthesis,triggered
0.16666666666666666,lipidTransport,triggered
0.16666666666666666,adiposeLipolysis,stopped
0.18333333333333332,glycogenSynthaseStep,stopped
0.2,glycogenPhosphorylaseStep,triggered
0.2,fattyAcidSynthesis,stopped
0.2,lipidTransport,stopped
0.2,adiposeLipolysis,triggered
0.21666666666666667,glycogenSynthaseStep,triggered
0.21666666666666667,glycogenPhosphorylaseStep,stopped
0.21666666666666667,fattyAcidSynthesis,triggered
0.21666666666666667,lipidTransport,triggered
0.21666666666666667,adiposeLipolysis,stopped
0.23333333333333334,glycogenSynthaseStep,stopped
0.23333333333333334,glycogenPhosphorylaseStep,triggered
0.23333333333333334,fattyAcidSynthesis,stopped
0.23333333333333334,lipidTransport,stopped
0.23333333333333334,adiposeLipolysis,triggered
0.25,glycogenSynthaseStep,triggered
0.25,glycogenPhosphorylaseStep,stopped
0.25,fattyAcidSynthesis,triggered
0.25,lipidTransport,triggered
0.25,adiposeLipolysis,stopped
0.26666666666666666,glycogenSynthaseStep,stopped
0.26666666666666666,glycogenPhosphorylaseStep,triggered
0.26666666666666666,fattyAcidSynthesis,stopped
0.26666666666666666,lipidTransport,stopped
0.26666666666666666,adiposeLipolysis,triggered
0.2833333333333333,glycogenSynthaseStep,triggered
0.2833333333333333,glycogenPhosphorylaseStep,stopped
0.2833333333333333,fattyAcidSynthesis,triggered
0.2833333333333333,lipidTransport,triggered
0.2833333333333333,adiposeLipolysis,stopped
0.3,glycogenSynthaseStep,stopped
0.3,glycogenPhosphorylaseStep,triggered
0.3,fattyAcidSynthesis,stopped
0.3,lipidTransport,stopped
0.3,adiposeLipolysis,triggered
0.31666666666666665,glycogenSynthaseStep,triggered
0.31666666666666665,glycogenPhosphorylaseStep,stopped
0.31666666666666665,fattyAcidSynthesis,triggered
0.31666666666666665,lipidTransport,triggered
0.31666666666666665,adiposeLipolysis,stopped
0.3333333333333333,glycogenSynthaseStep,stopped
0.3333333333333333,glycogenPhosphorylaseStep,triggered
0.3333333333333333,fattyAcidSynthesis,stopped
0.3333333333333333,lipidTransport,stopped
0.3333333333333333,adiposeLipolysis,triggered
0.3333333333333333,aminoAcidSynthesisTransport,stopped
0.3333333333333333,plasmaProteinSynthesis,stopped
0.3333333333333333,coagulationFactorSynthesis,stopped
0.35,glycogenSynthaseStep,triggered
0.35,glycogenPhosphorylaseStep,stopped
0.35,fattyAcidSynthesis,triggered
0.35,lipidTransport,triggered
0.35,adiposeLipolysis,stopped
0.36666666666666664,glycogenSynthaseStep,stopped
0.36666666666666664,glycogenPhosphorylaseStep,triggered
0.36666666666666664,fattyAcidSynthesis,stopped
0.36666666666666664,lipidTransport,stopped
0.36666666666666664,adiposeLipolysis,triggered
0.38333333333333336,glycogenSynthaseStep,triggered
0.38333333333333336,glycogenPhosphorylaseStep,stopped
0.38333333333333336,fattyAcidSynthesis,triggered
0.38333333333333336,lipidTransport,triggered
0.38333333333333336,adiposeLipolysis,stopped
0.4,glycogenSynthaseStep,stopped
0.4,glycogenPhosphorylaseStep,triggered
0.4,fattyAcidSynthesis,stopped
0.4,lipidTransport,stopped
0.4,adiposeLipolysis,triggered
0.4166666666666667,glycogenSynthaseStep,triggered
0.4166666666666667,glycogenPhosphorylaseStep,stopped
0.4166666666666667,fattyAcidSynthesis,triggered
0.4166666666666667,lipidTransport,triggered
0.4166666666666667,adiposeLipolysis,stopped
0.43333333333333335,glycogenSynthaseStep,stopped
0.43333333333333335,glycogenPhosphorylaseStep,triggered
0.43333333333333335,fattyAcidSynthesis,stopped
0.43333333333333335,lipidTransport,stopped
0.43333333333333335,adiposeLipolysis,triggered
0.45,glycogenPhosphorylaseStep,stopped
0.45,fattyAcidSynthesis,triggered
0.45,lipidTransport,triggered
0.45,adiposeLipolysis,stopped
0.45,ass1_Citrulline_to_ASP_Argininosuccinate,stopped
0.4666666666666667,glycogenPhosphorylaseStep,triggered
0.4666666666666667,fattyAcidSynthesis,stopped
0.4666666666666667,lipidTransport,stopped
0.4666666666666667,adiposeLipolysis,triggered
0.48333333333333334,glycogenSynthaseStep,triggered
0.48333333333333334,glycogenPhosphorylaseStep,stopped
0.48333333333333334,fattyAcidSynthesis,triggered
0.48333333333333334,lipidTransport,triggered
0.48333333333333334,adiposeLipolysis,stopped
0.5,glycogenSynthaseStep,stopped
0.5,glycogenPhosphorylaseStep,triggered
0.5,fattyAcidSynthesis,stopped
0.5,lipidTransport,stopped
0.5,adiposeLipolysis,triggered
0.5,ass1_Citrulline_to_ASP_Argininosuccinate,triggered
0.5166666666666667,glycogenPhosphorylaseStep,stopped
0.5166666666666667,fattyAcidSynthesis,triggered
0.5166666666666667,lipidTransport,triggered
0.5166666666666667,adiposeLipolysis,stopped
0.5166666666666667,ass1_Citrulline_to_ASP_Argininosuccinate,stopped
0.5333333333333333,glycogenPhosphorylaseStep,triggered
0.5333333333333333,fattyAcidSynthesis,stopped
0.5333333333333333,lipidTransport,stopped
0.5333333333333333,adiposeLipolysis,triggered
0.55,glycogenPhosphorylaseStep,stopped
0.55,fattyAcidSynthesis,triggered
0.55,lipidTransport,triggered
0.55,adiposeLipolysis,stopped
0.5666666666666667,glycogenPhosphorylaseStep,triggered
0.5666666666666667,fattyAcidSynthesis,stopped
0.5666666666666667,lipidTransport,stopped
0.5666666666666667,adiposeLipolysis,triggered
0.5666666666666667,asl_Argininosuccinate_to_Arginine_Fumarate,stopped
0.5666666666666667,arg1_Arginine_to_Urea_Ornithine,stopped
0.5833333333333334,glycogenPhosphorylaseStep,stopped
0.5833333333333334,fattyAcidSynthesis,triggered
0.5833333333333334,lipidTransport,triggered
0.5833333333333334,adiposeLipolysis,stopped
0.6,glycogenPhosphorylaseStep,triggered
0.6,fattyAcidSynthesis,stopped
0.6,lipidTransport,stopped
0.6,adiposeLipolysis,triggered
0.6166666666666667,glycogenPhosphorylaseStep,stopped
0.6166666666666667,fattyAcidSynthesis,triggered
0.6166666666666667,lipidTransport,triggered
0.6166666666666667,adiposeLipolysis,stopped
0.6333333333333333,glycogenPhosphorylaseStep,triggered
0.6333333333333333,fattyAcidSynthesis,stopped
0.6333333333333333,lipidTransport,stopped
0.6333333333333333,adiposeLipolysis,triggered
0.65,glycogenPhosphorylaseStep,stopped
0.65,fattyAcidSynthesis,triggered
0.65,lipidTransport,triggered
0.65,adiposeLipolysis,stopped
0.6666666666666666,glycogenPhosphorylaseStep,triggered
0.6666666666666666,fattyAcidSynthesis,stopped
0.6666666666666666,lipidTransport,stopped
0.6666666666666666,adiposeLipolysis,triggered
0.6833333333333333,glycogenPhosphorylaseStep,stopped
0.6833333333333333,fattyAcidSynthesis,triggered
0.6833333333333333,lipidTransport,triggered
0.6833333333333333,adiposeLipolysis,stopped
0.7,glycogenPhosphorylaseStep,triggered
0.7,fattyAcidSynthesis,stopped
0.7,lipidTransport,stopped
0.7,adiposeLipolysis,triggered
0.7166666666666667,glycogenPhosphorylaseStep,stopped
0.7333333333333333,glycogenPhosphorylaseStep,triggered
0.75,glycogenPhosphorylaseStep,stopped
0.7666666666666667,glycogenPhosphorylaseStep,triggered
0.8,glycogenPhosphorylaseStep,stopped
0.8,fattyAcidSynthesis,triggered
0.8,lipidTransport,triggered
0.8,adiposeLipolysis,stopped
0.8166666666666667,glycogenPhosphorylaseStep,triggered
0.8166666666666667,fattyAcidSynthesis,stopped
0.8166666666666667,lipidTransport,stopped
0.8166666666666667,adiposeLipolysis,triggered
0.8333333333333334,glycogenPhosphorylaseStep,stopped
0.85,glycogenPhosphorylaseStep,triggered
0.8833333333333333,glycogenPhosphorylaseStep,stopped
0.9,glycogenPhosphorylaseStep,triggered
0.95,glycogenPhosphorylaseStep,stopped
0.9666666666666667,glycogenPhosphorylaseStep,triggered
1.0333333333333334,glycogenPhosphorylaseStep,stopped
1.05,glycogenPhosphorylaseStep,triggered
1.4333333333333333,ketogenesis,triggered
1.5,betaOxidation,triggered
1.5833333333333333,betaOxidation,stopped
1.6,betaOxidation,triggered
1.6166666666666667,betaOxidation,stopped
1.6333333333333333,betaOxidation,triggered
1.65,betaOxidation,stopped
1.6666666666666667,betaOxidation,triggered
1.6833333333333333,betaOxidation,stopped
1.7,betaOxidation,triggered
1.7166666666666666,betaOxidation,stopped
1.7333333333333334,betaOxidation,triggered
1.75,betaOxidation,stopped
1.7666666666666666,betaOxidation,triggered
1.7833333333333334,betaOxidation,stopped
1.8,betaOxidation,triggered
1.8166666666666667,betaOxidation,stopped
1.8333333333333333,betaOxidation,triggered
1.85,betaOxidation,stopped
1.8666666666666667,betaOxidation,triggered
1.8833333333333333,betaOxidation,stopped
1.9,betaOxidation,triggered
1.9166666666666667,branchingEnzymeStep,stopped
1.9166666666666667,glycogenPhosphorylaseStep,stopped
1.9166666666666667,debranchingEnzymeStep,stopped
1.9166666666666667,betaOxidation,stopped
1.9333333333333333,betaOxidation,triggered
1.95,betaOxidation,stopped
1.9666666666666666,betaOxidation,triggered
1.9833333333333334,betaOxidation,stopped
2.0,betaOxidation,triggered
2.0166666666666666,betaOxidation,stopped
2.033333333333333,betaOxidation,triggered
2.05,betaOxidation,stopped
2.066666666666667,betaOxidation,triggered
2.0833333333333335,hexokinase_or_glucokinase,stopped
2.0833333333333335,pgm_G6P_to_G1P,stopped
2.0833333333333335,udpGlucoseSynthesis,stopped
2.0833333333333335,glycolysis_middle_steps,stopped
2.0833333333333335,betaOxidation,stopped
2.1,betaOxidation,triggered
2.1166666666666667,betaOxidation,stopped
2.1333333333333333,betaOxidation,triggered
2.15,betaOxidation,stopped
2.1666666666666665,betaOxidation,triggered
2.183333333333333,betaOxidation,stopped
2.2,betaOxidation,triggered
2.216666666666667,betaOxidation,stopped
2.2333333333333334,betaOxidation,triggered
2.25,betaOxidation,stopped
2.2666666666666666,betaOxidation,triggered
2.283333333333333,betaOxidation,stopped
2.3,betaOxidation,triggered
2.316666666666667,betaOxidation,stopped
